1498586350.98 {'correction_signal': 2.4962, 'message': 'ok', 'error_signal': 0.0}
1498586356.79 {'correction_signal': 2.4955, 'message': 'ok', 'error_signal': -0.0021}
1498586362.6 {'correction_signal': 2.4959, 'message': 'ok', 'error_signal': 0.0034}
1498586368.41 {'correction_signal': 2.4976, 'message': 'ok', 'error_signal': 0.0049}
1498586374.21 {'correction_signal': 2.4967, 'message': 'ok', 'error_signal': -0.0044}
1498586380.04 {'correction_signal': 2.4941, 'message': 'ok', 'error_signal': 0.0049}
1498586385.84 {'correction_signal': 2.4927, 'message': 'ok', 'error_signal': -0.0014}
1498586391.65 {'correction_signal': 2.4947, 'message': 'ok', 'error_signal': 0.0063}
1498586397.46 {'correction_signal': 2.5015, 'message': 'ok', 'error_signal': 0.0014}
1498586403.28 {'correction_signal': 2.4991, 'message': 'ok', 'error_signal': -0.0067}
1498586409.09 {'correction_signal': 2.5019, 'message': 'ok', 'error_signal': 0.0043}
1498586414.91 {'correction_signal': 2.504, 'message': 'ok', 'error_signal': -0.0114}
1498586420.72 {'correction_signal': 2.4999, 'message': 'ok', 'error_signal': 0.0011}
1498586426.52 {'correction_signal': 2.5, 'message': 'ok', 'error_signal': -0.0034}
1498586432.35 {'correction_signal': 2.4984, 'message': 'ok', 'error_signal': -0.0003}
1498586438.15 {'correction_signal': 2.4975, 'message': 'ok', 'error_signal': 0.0017}
1498586443.96 {'correction_signal': 2.4984, 'message': 'ok', 'error_signal': -0.0015}
1498586449.77 {'correction_signal': 2.4997, 'message': 'ok', 'error_signal': 0.0046}
1498586455.57 {'correction_signal': 2.5005, 'message': 'ok', 'error_signal': -0.0026}
1498586461.4 {'correction_signal': 2.5009, 'message': 'ok', 'error_signal': 0.0002}
1498586467.2 {'correction_signal': 2.5048, 'message': 'ok', 'error_signal': -0.0038}
1498586473.03 {'correction_signal': 2.5037, 'message': 'ok', 'error_signal': -0.0021}
1498586478.85 {'correction_signal': 2.5068, 'message': 'ok', 'error_signal': 0.0067}
1498586484.66 {'correction_signal': 2.5035, 'message': 'ok', 'error_signal': 0.0024}
1498586490.48 {'correction_signal': 2.5063, 'message': 'ok', 'error_signal': -0.0029}
1498586496.3 {'correction_signal': 2.5062, 'message': 'ok', 'error_signal': 0.0015}
1498586502.12 {'correction_signal': 2.5083, 'message': 'ok', 'error_signal': -0.0063}
1498586507.95 {'correction_signal': 2.509, 'message': 'ok', 'error_signal': 0.0018}
1498586513.77 {'correction_signal': 2.5083, 'message': 'ok', 'error_signal': 0.0009}
1498586519.59 {'correction_signal': 2.5094, 'message': 'ok', 'error_signal': 0.0044}
1498586525.42 {'correction_signal': 2.5056, 'message': 'ok', 'error_signal': 0.0021}
1498586531.24 {'correction_signal': 2.5068, 'message': 'ok', 'error_signal': -0.0073}
1498586537.05 {'correction_signal': 2.5066, 'message': 'ok', 'error_signal': 0.004}
1498586542.87 {'correction_signal': 2.5098, 'message': 'ok', 'error_signal': -0.0058}
1498586548.69 {'correction_signal': 2.512, 'message': 'ok', 'error_signal': 0.0034}
1498586554.52 {'correction_signal': 2.5107, 'message': 'ok', 'error_signal': -0.0026}
1498586560.35 {'correction_signal': 2.5116, 'message': 'ok', 'error_signal': -0.0067}
1498586566.18 {'correction_signal': 2.512, 'message': 'ok', 'error_signal': -0.0002}
1498586572.0 {'correction_signal': 2.5111, 'message': 'ok', 'error_signal': -0.0014}
1498586577.82 {'correction_signal': 2.5094, 'message': 'ok', 'error_signal': 0.0017}
1498586583.65 {'correction_signal': 2.5078, 'message': 'ok', 'error_signal': -0.0024}
1498586589.47 {'correction_signal': 2.5076, 'message': 'ok', 'error_signal': -0.0012}
