1498623008.36 {'correction_signal': 3.3971, 'message': 'ok', 'error_signal': -0.0017}
1498623014.19 {'correction_signal': 3.3984, 'message': 'ok', 'error_signal': 0.0072}
1498623020.02 {'correction_signal': 3.3986, 'message': 'ok', 'error_signal': 0.0023}
1498623025.84 {'correction_signal': 3.4013, 'message': 'ok', 'error_signal': -0.0014}
1498623031.68 {'correction_signal': 3.4025, 'message': 'ok', 'error_signal': -0.0037}
1498623037.5 {'correction_signal': 3.4018, 'message': 'ok', 'error_signal': 0.0021}
1498623043.34 {'correction_signal': 3.4037, 'message': 'ok', 'error_signal': -0.0021}
1498623049.16 {'correction_signal': 3.4048, 'message': 'ok', 'error_signal': 0.0063}
1498623055.0 {'correction_signal': 3.4062, 'message': 'ok', 'error_signal': -0.0027}
1498623060.83 {'correction_signal': 3.4072, 'message': 'ok', 'error_signal': 0.0003}
1498623066.66 {'correction_signal': 3.4086, 'message': 'ok', 'error_signal': -0.007}
1498623072.49 {'correction_signal': 3.4069, 'message': 'ok', 'error_signal': 0.0047}
1498623078.31 {'correction_signal': 3.4074, 'message': 'ok', 'error_signal': -0.0027}
1498623084.15 {'correction_signal': 3.4078, 'message': 'ok', 'error_signal': 0.0015}
1498623089.97 {'correction_signal': 3.4094, 'message': 'ok', 'error_signal': 0.0014}
1498623095.81 {'correction_signal': 3.4096, 'message': 'ok', 'error_signal': -0.0021}
1498623101.63 {'correction_signal': 3.4123, 'message': 'ok', 'error_signal': -0.0026}
1498623107.47 {'correction_signal': 3.4105, 'message': 'ok', 'error_signal': -0.0006}
1498623113.3 {'correction_signal': 3.4076, 'message': 'ok', 'error_signal': 0.0043}
1498623119.13 {'correction_signal': 3.4116, 'message': 'ok', 'error_signal': 0.0026}
1498623124.96 {'correction_signal': 3.4149, 'message': 'ok', 'error_signal': 0.0006}
1498623130.78 {'correction_signal': 3.4152, 'message': 'ok', 'error_signal': 0.0}
1498623136.62 {'correction_signal': 3.416, 'message': 'ok', 'error_signal': -0.0017}
1498623142.44 {'correction_signal': 3.4137, 'message': 'ok', 'error_signal': -0.0038}
1498623148.28 {'correction_signal': 3.4145, 'message': 'ok', 'error_signal': 0.0006}
1498623154.1 {'correction_signal': 3.4144, 'message': 'ok', 'error_signal': -0.002}
1498623159.94 {'correction_signal': 3.4151, 'message': 'ok', 'error_signal': -0.005}
1498623165.77 {'correction_signal': 3.4109, 'message': 'ok', 'error_signal': 0.0021}
1498623171.59 {'correction_signal': 3.4097, 'message': 'ok', 'error_signal': -0.0031}
1498623177.43 {'correction_signal': 3.4107, 'message': 'ok', 'error_signal': -0.0011}
1498623183.25 {'correction_signal': 3.4142, 'message': 'ok', 'error_signal': -0.0089}
1498623189.09 {'correction_signal': 3.4132, 'message': 'ok', 'error_signal': -0.0027}
1498623194.91 {'correction_signal': 3.4149, 'message': 'ok', 'error_signal': -0.0101}
1498623200.75 {'correction_signal': 3.4174, 'message': 'ok', 'error_signal': -0.0046}
